iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 24, 2024"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"163,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MMC","MARSH & MCLENNAN INC","Financials","Equity","25,354,964.36","0.13","25,354,964.36","118,459.00","214.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","25,165,629.18","0.13","25,165,629.18","279,898.00","89.91","United States","NASDAQ","USD","1.00","USD","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","25,074,831.57","0.13","25,074,831.57","357,200.00","70.20","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","25,012,154.25","0.13","25,012,154.25","215,715.00","115.95","United States","NASDAQ","USD","1.00","USD","-"
"UBSG","UBS GROUP AG","Financials","Equity","24,944,245.50","0.13","24,944,245.50","830,108.00","30.05","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","24,544,054.08","0.13","24,544,054.08","274,911.00","89.28","United States","NASDAQ","USD","1.00","USD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","24,464,071.38","0.13","24,464,071.38","1,225,120.00","19.97","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","23,836,106.70","0.12","23,836,106.70","227,661.00","104.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","23,700,709.14","0.12","23,700,709.14","155,333.00","152.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","23,685,549.96","0.12","23,685,549.96","320,812.00","73.83","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","23,389,981.50","0.12","23,389,981.50","67,350.00","347.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
